Wed Mar 25 2020 23:19:59 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:00 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:03 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:04 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:04 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:05 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:06 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:07 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:08 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:11 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:12 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:13 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:13 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:14 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:15 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:16 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:20:17 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:26:20 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:29:23 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:29:25 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:29:27 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
